Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,CGPA,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends
18 - 20,Male,Malaysian,Friend or Roommate,Urban,No,FIST,Foundation,Less than 1,Less than 40,Very Good,0,8,0,1,Yes,Yes,Course preference,Medium,Large,Less,Good,Good,No,MT3,Secondary,Higher,Self-employed,HR,No,Yes,Alone,Less than 2,Yes,No,Less than 10,Non-gamer,Sometimes,3,3,5
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,2,40 - 70 ,Average,1 - 2,0,4,4,No,Yes,University reputation,Medium,Medium,Less,Good,Moderate,No,MT3,Higher,Secondary,Self-employed,Unemployed,No,Yes,Group,Less than 2,No,No,10 - 30,Moderate,Less,3,3,4
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FOL,Bachelor's,3,More than 100,Good,0,5,3,1,No,Yes,Course preference,Medium,Medium,Less,Poor,Poor,No,MT3,Higher,Higher,Civil servant,Education,Yes,Yes,Alone,Less than 2,Yes,No,Less than 10,Non-gamer,Non-drinker,2,3,3
21 - 23,Female,Malaysian,Family,Urban,Yes,FIST,Bachelor's,2,40 - 70 ,Very Good,0,9,0,0,Yes,No,Course preference,Extra large,Extra large,None,Moderate,Good,No,LE3,Secondary,Secondary,Self-employed,Self-employed,Yes,Yes,Group,5 - 8,No,No,10 - 30,Moderate,Non-drinker,2,3,3
21 - 23,Female,Malaysian,Friend or Roommate,Urban,Yes,FIST,Bachelor's,3,71 - 100,Very Good,0,9,0,0,No,Yes,Course preference,Large,Large,Often,Moderate,Moderate,No,MT3,Secondary,Secondary,Unemployed,Self-employed,No,Yes,Alone,2 - 5,No,No,Less than 10,Moderate,Less,5,3,3
18 - 20,Male,Malaysian,Family,Urban,Yes,FCI,Bachelor's,Less than 1,Less than 40,Very Good,0,5,3,1,Yes,Yes,University reputation,Medium,Medium,Often,Good,Good,No,MT3,Higher,Higher,Self-employed,Civil servant,No,No,Alone,2 - 5,Yes,No,30 - 60,Light,Sometimes,3,5,5
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FIST,Bachelor's,Less than 1,Less than 40,Good,0,8,1,0,Yes,No,Course preference,Small,Small,Less,Moderate,Moderate,No,MT3,Higher,Higher,Networking,Finance and banking,No,Yes,Alone,2 - 5,Yes,No,Less than 10,Light,Non-drinker,3,5,5
21 - 23,Female,Malaysian,Family,Urban,Yes,FOB,Bachelor's,4,71 - 100,Very Good,0,4,2,0,No,Yes,Course preference,Large,Medium,Less,Moderate,Moderate,No,MT3,Higher,Higher,Self-employed,Finance and banking,No,Yes,Alone,Less than 2,No,No,Less than 10,Non-gamer,Non-drinker,4,3,3
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FOB,Foundation,Less than 1,Less than 40,Very Good,0,3,5,2,No,Yes,Close to home,Small,Small,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Self-employed,No,Yes,Group,Less than 2,No,No,Less than 10,Moderate,Non-drinker,2,3,1
21 - 23,Female,Non-Malaysian,Alone,Urban,No,FOM,Bachelor's,3,71 - 100,Average,3 - 4,0,0,0,No,No,University reputation,Large,Medium,None,Poor,Moderate,No,MT3,Secondary,Primary,Civil servant,Unemployed,No,Yes,Group,2 - 5,No,No,10 - 30,Non-gamer,Non-drinker,5,5,4
