Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends,CGPA
0,0,0,1,1,1,3,0,4,2,1,1,3,3,0,0,5,2,2,3,1,1,0,1,1,1,14,76,0,1,1,2,0,0,2,0,3,2,4,4,0
2,0,0,1,1,1,3,0,1,0,0,1,2,4,0,0,12,1,3,0,2,1,1,1,1,1,14,18,0,1,0,0,0,0,2,1,1,2,2,1,2
1,1,0,1,1,0,2,0,1,0,0,11,2,0,0,1,12,0,1,0,1,1,0,1,4,4,87,68,0,1,1,2,0,0,0,1,0,3,2,3,2
1,1,0,2,1,0,7,0,1,3,0,0,0,0,0,1,37,3,3,0,1,1,0,1,1,4,87,76,0,1,1,2,1,0,2,2,1,2,4,3,4
1,1,0,2,1,0,7,0,2,1,0,8,5,0,0,1,12,2,2,0,1,1,0,1,4,4,14,76,0,0,0,2,1,0,0,1,0,3,1,2,4
1,0,0,2,1,0,9,0,2,1,1,5,3,3,0,0,37,1,2,0,0,1,0,0,1,4,23,68,0,1,0,0,1,0,0,3,1,4,4,4,0
0,0,0,2,1,0,2,0,0,2,0,8,5,0,0,1,12,1,2,0,1,1,0,1,1,1,87,68,0,1,0,2,0,1,2,1,1,2,3,1,4
1,0,0,2,1,0,8,0,2,0,0,8,3,2,0,0,12,1,2,1,1,0,0,1,1,1,87,11,0,0,0,1,1,0,2,1,1,2,4,3,2
0,0,0,2,1,0,6,2,4,0,0,8,3,0,0,1,12,2,3,1,1,1,0,1,4,4,87,23,1,1,0,0,0,0,2,2,0,3,0,1,0
0,1,0,2,1,0,2,0,0,2,0,8,5,0,1,1,12,1,2,1,1,1,1,0,4,4,87,11,1,1,0,0,1,0,0,3,1,3,1,0,4
